key,inventoryOrdinal,sourceKind,ownerId,skillKey,passiveName,currentStatus,currentCompletionMode,lane,blocker,mechanismTagsJson,unifiedSourceRefsJson,wikiOwnerName,wikiPageId,wikiItemId,wikiEffectSlotsJson,wikiSourceRef,templateState,templateKind,draftContractJson,verificationGatesJson,nonclaimsJson
hero_skill|hero_akshan|P|无所不用,0,hero_skill,hero_akshan,P,无所不用,blocked_data,partial,generic_runtime,second_shot_exact_delay_ms_not_published,"[""every_n_hit"",""magic_proc_on_third_stack"",""on_hit"",""stacking_dirty_fighting""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""partial"",""sourceRecordKey"":""hero_skill|hero_akshan|P|无所不用""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_akshan|P|无所不用""}]",Akshan,akshan-p,,[],数据参考/lol-wiki-current-champions/normalized/generic/akshan-p.json@rev4038197 sha256:22ba762382dedced4b63a451c4513cb3129e3b16a137236e5b637eea7510b534,provisional_unverified,data_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_akshan|Q|去而复还,1,hero_skill,hero_akshan,Q,去而复还,blocked_runtime,none,generic_runtime,blocked_data,"[""cooldown_or_haste_without_rotation""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_akshan|Q|去而复还""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_akshan|Q|去而复还""}]",Akshan,akshan-q,,[],数据参考/lol-wiki-current-champions/normalized/generic/akshan-q.json@rev4007510 sha256:1cbf7dda955849d05ad2d7e578ed9507f8f61fc7525c5ed006a25185915b5f5b,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_akshan|R|恩怨相抵,4,hero_skill,hero_akshan,R,恩怨相抵,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""meta_or_non_target_dps""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_akshan|R|恩怨相抵""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_akshan|R|恩怨相抵""}]",Akshan,akshan-r,,[],数据参考/lol-wiki-current-champions/normalized/generic/akshan-r.json@rev3982549 sha256:f6707ea62ac3c40823b6b1ee5984d19987f49a35283f7795e04cd8b36359ef32,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_ashe|P|冰霜射击,10,hero_skill,hero_ashe,P,冰霜射击,blocked_runtime,none,generic_runtime,deterministic_random_crit_sequence,"[""deterministic_random_crit_sequence""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_ashe|P|冰霜射击""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_ashe|P|冰霜射击""}]",Ashe,ashe-p,,[],数据参考/lol-wiki-current-champions/normalized/generic/ashe-p.json@rev4038216 sha256:def2547f895e1533754e9265fd36f995a30258f11ca947cd737a70ea17df51da,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_azir|E|流沙移形,18,hero_skill,hero_azir,E,流沙移形,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""meta_or_non_target_dps""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_azir|E|流沙移形""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_azir|E|流沙移形""}]",Azir,azir-e,,[],数据参考/lol-wiki-current-champions/normalized/generic/azir-e.json@rev4022609 sha256:2c5f2625e9c82b0a9edf181aa5c87e3ca855f105e6bd7b0acdf6b6d811e516bd,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_azir|Q|狂沙猛攻,16,hero_skill,hero_azir,Q,狂沙猛攻,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""meta_or_non_target_dps""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_azir|Q|狂沙猛攻""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_azir|Q|狂沙猛攻""}]",Azir,azir-q,,[],数据参考/lol-wiki-current-champions/normalized/generic/azir-q.json@rev4024967 sha256:168e2568c6795859e68831eb23b59b62d249aceb07cf3740403b1616516b51f2,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_azir|R|禁军之墙,19,hero_skill,hero_azir,R,禁军之墙,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""multi_target_or_area""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_azir|R|禁军之墙""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_azir|R|禁军之墙""}]",Azir,azir-r,,[],数据参考/lol-wiki-current-champions/normalized/generic/azir-r.json@rev4042859 sha256:92cf30c1d9452936b24cb3e20c28bf1f417748db64a60ea382238db5212e8251,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_azir|W|沙兵现身,17,hero_skill,hero_azir,W,沙兵现身,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""meta_or_non_target_dps""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_azir|W|沙兵现身""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_azir|W|沙兵现身""}]",Azir,azir-w,,[],数据参考/lol-wiki-current-champions/normalized/generic/azir-w.json@rev4043850 sha256:eda21de63ba2907f5b5406cbb54bd545b78abaae01ca7471ddf9b2a8ecef0ffa,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_caitlyn|P|爆头,20,hero_skill,hero_caitlyn,P,爆头,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""crit_scaling"",""on_hit""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_caitlyn|P|爆头""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_caitlyn|P|爆头""}]",Caitlyn,caitlyn-p,,[],数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-p.json@rev3982560 sha256:5f36d295e4099c5ee5a091b17f0db9f2a50819939a449e59b95d247baaac8251,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
hero_skill|hero_caitlyn|W|约德尔诱捕器,22,hero_skill,hero_caitlyn,W,约德尔诱捕器,blocked_runtime,none,generic_runtime,implementation_gap_no_unresolved_data_fields,"[""meta_or_non_target_dps""]","[{""path"":""最小验证/generic-g8-adc-passive-coverage-audit.json"",""legacyStatus"":""blocked"",""sourceRecordKey"":""hero_skill|hero_caitlyn|W|约德尔诱捕器""},{""path"":""最小验证/wiki-only-mechanism-candidate-registry.json"",""legacyStatus"":""registry_candidate"",""sourceRecordKey"":""hero_skill|hero_caitlyn|W|约德尔诱捕器""}]",Caitlyn,caitlyn-w,,[],数据参考/lol-wiki-current-champions/normalized/generic/caitlyn-w.json@rev4023135 sha256:4e500c2cc801672b4d110359d6710c9464f6a61e5d3f02f01965d4e90b3e4a6a,provisional_unverified,runtime_contract_placeholder,"{""rank"":null,""resourceCost"":null,""cooldownMs"":null,""target"":null,""timing"":null,""formula"":null,""operationGraph"":null,""fixtures"":[],""completedBoundary"":null,""exclusions"":[]}","[{""id"":""wiki_identity_and_revision"",""state"":""pending""},{""id"":""wiki_numeric_contract"",""state"":""pending""},{""id"":""bounded_phase_a_plan"",""state"":""pending""},{""id"":""design_review_ready"",""state"":""pending""},{""id"":""backend_seed_and_junit"",""state"":""pending""},{""id"":""wasm_generic_test"",""state"":""pending""},{""id"":""g8_unified_audit"",""state"":""pending""},{""id"":""docs_and_governance"",""state"":""pending""}]","[""no_numeric_or_behavioral_fidelity_claim"",""no_runtime_support_claim"",""no_backend_materialization_claim"",""no_g8_or_unified_status_change"",""no_live_publish_or_migration"",""no_new_completed_full_or_ready_assertion""]"
