reviewKey,choice,disposition,maturity,reason,skillId,itemId,itemName,itemNameZh,slotLabel,effectName,mechanismType,reviewSide,userNote,plainText
1054|1054|doran_s_shield|pass2|Helping Hand,不做,excluded,not_in_seed,user_marked_no,,1054,Doran's Shield,多兰之盾,被动2,Helping Hand,普攻命中,ADC/攻击者穿 + 坦克/靶子穿,,Basic attacks deal as(5 bonus physical damage) on-hit against minions.
1120|1120|doran_s_helm|pass|Helping Hand,不做,excluded,not_in_seed,user_marked_no,,1120,Doran's Helm,多兰之盔,被动1,Helping Hand,普攻命中,坦克/靶子穿,,Basic attacks deal as(5 bonus physical damage) on-hit against minions.
3076|3076|bramble_vest|pass|Thorns,不做,excluded,not_in_seed,user_marked_no,,3076,Bramble Vest,棘刺背心,被动1,Thorns,普攻命中,坦克/靶子穿,,"When struck by a basic attack on-hit, deal as(10 magic damage) to the attacker and, if they are a champion, inflict them with tip(Grievous Wounds) for 3 seconds."
3070|3070|tear_of_the_goddess|pass2|Helping Hand,不做,excluded,not_in_seed,user_marked_no,,3070,Tear of the Goddess,女神之泪,被动2,Helping Hand,普攻命中,ADC/攻击者穿,,Basic attacks deal as(5 bonus physical damage) on-hit against minions.
443055|443055|fulmination|pass|Energized,待定,pending,not_in_seed,user_marked_pending,,443055,Fulmination,爆鸣,被动1,Energized,盈能/充能,ADC/攻击者穿,,"Moving and basic attacking generates Energize stacks, up to 100."
443055|443055|fulmination|pass2|Polarity,不做,excluded,not_in_seed,user_marked_no,,443055,Fulmination,爆鸣,被动2,Polarity,盈能/充能,ADC/攻击者穿,,Your tip(Energized) attacks against targets not hit by your previous Energized attack do not consume any Energize stacks on-hit.
443081|443081|hexbolt_companion|pass2|Energized,不做,excluded,not_in_seed,user_marked_no,,443081,Hexbolt Companion,海克斯弹丸配枪,被动2,Energized,盈能/充能,坦克/靶子穿,,"Moving and basic attacking generates Energize stacks, up to 100."
3094|3094|rapid_firecannon|pass|Energized,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3094_rapid_firecannon_energized_reviewed_tank_adc,3094,Rapid Firecannon,疾射火炮,被动1,Energized,盈能/充能,ADC/攻击者穿,移动盈能可以跳过,"Moving and basic attacking generates Energize stacks, up to 100."
3094|3094|rapid_firecannon|pass2|Sharpshooter,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3094_rapid_firecannon_energized_reviewed_tank_adc,3094,Rapid Firecannon,疾射火炮,被动2,Sharpshooter,盈能/充能,ADC/攻击者穿,,"When fully tip(Energized), your next basic attack deals as(40 bonus magic damage) on-hit. Energized attacks gain 35% bonus range, capped at 150."
3097|3097|stormrazor|pass|Energized,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3097_stormrazor_energized_reviewed_tank_adc,3097,Stormrazor,岚切,被动1,Energized,盈能/充能,ADC/攻击者穿,,"Moving and basic attacking generates Energize stacks, up to 100."
3097|3097|stormrazor|pass2|Bolt,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3097_stormrazor_energized_reviewed_tank_adc,3097,Stormrazor,岚切,被动2,Bolt,盈能/充能,ADC/攻击者穿,,"When fully tip(Energized), your next basic attack deals as(100 bonus magic damage) on-hit and grants you as(45% bonus movement speed) for fd(1.5) seconds."
3087|3087|statikk_shiv|pass|Energized,现在做,already_imported,not_in_seed,existing_high_confidence_seed_already_imported_as_wiki_current_items_skills_4030984,,3087,Statikk Shiv,斯塔缇克电刃,被动1,Energized,盈能/充能,ADC/攻击者穿,,"Moving and basic attacking generates Energize stacks, up to 100."
3087|3087|statikk_shiv|pass3|Electrospark,现在做,already_imported,not_in_seed,existing_high_confidence_seed_already_imported_as_wiki_current_items_skills_4030984,,3087,Statikk Shiv,斯塔缇克电刃,被动3,Electrospark,盈能/充能,ADC/攻击者穿,,"When fully tip(Energized), your next basic attack on-hit is empowered to form chain lightning, dealing as(60 bonus magic damage), increased to as(90; magic damage) against non-champions. This bounces to the closest target within 500 units, repeating from the new target to strike up to pp(4 to 8 by 1; 1;6;10;14;20) targets, dealing the same damage and applying tip(on-hit) effects to secondary targets hit."
6662|6662|iceborn_gauntlet|pass|Spellblade,不做,excluded,not_in_seed,user_marked_no,,6662,Iceborn Gauntlet,冰脉护手,被动1,Spellblade,咒刃/下一次普攻,坦克/靶子穿,,"After using an ability, your next basic attack within 10 seconds deals as(150% base AD) as(bonus physical damage) on-hit and creates a 300 radius frost field for 2 seconds. Enemies within the field are slowed by rd(25%; ap(25*0.5)%) (fd(1.5) second cooldown, starts after using the empowered attack)."
3508|3508|essence_reaver|pass|Spellblade,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3508_essence_reaver_spellblade_reviewed_tank_adc,3508,Essence Reaver,夺萃之镰,被动1,Spellblade,咒刃/下一次普攻,ADC/攻击者穿,,"After using an ability, your next basic attack within 10 seconds deals as(125% base AD) as((+ pp(0 to 50; 0 to 100 for 11; key1=%; label1=critical strike chance; showtype=false; formula=0.5 damage for every 1% critical strike chance) based on critical strike chance)) as(bonus physical damage) on-hit and restores as(mana) equal toft(50% of that amount; as(ap(125*0.5)% base AD) as((+ pp(0 to 25; 0 to 100 for 11; key1=%; label1=critical strike chance; showtype=false; formula=0.25 mana restored for every 1% critical strike chance) based on critical strike chance)))(fd(1.5) second cooldown, starts after using the empowered attack)."
3078|3078|trinity_force|pass|Spellblade,现在做,converted,ready_candidate,converted_to_seed_candidate,item_3078_trinity_force_spellblade_reviewed_tank_adc,3078,Trinity Force,三相之力,被动1,Spellblade,咒刃/下一次普攻,ADC/攻击者穿,,"After using an ability, your next basic attack within 10 seconds deals as(200% base AD) as(bonus physical damage) on-hit (fd(1.5) second cooldown, starts after using the empowered attack)."
