属性名称,code,说明
攻击力,ad,
法术强度,ap,
法力值,mana,
攻击速度,attack_speed,
成长攻击速度,attack_speed_growth,
护甲,armor,
魔法抗性,magic_resist,
生命值,hp,
移动速度,move_speed,
技能极速,ability_haste,转换为冷却缩减时使用x/(x+100)的公式计算
冷却缩减,cooldown_reduction,现在只有海克斯模式会有
基本技能极速,basic_ability_haste,字面意思，只影响基本技能极速，参考青龙刀装备
大招技能极速,ultimate_ability_haste,字面意思，只影响大招技能极速，参考残疫等大招减CD装备
基本技能冷却,basic_ability_cooldown,
Q技能极速,q_ability_haste,
W技能极速,w_ability_haste,
E技能极速,e_ability_haste,
射程,attack_range,
生命回复,hp_regen,这个可能要用别的机制实现，因为他是例如每5秒回复10点的机制，跟我们的事件驱动有冲突的地方
法力回复,mana_regen,这个可能要用别的机制实现，因为他是例如每5秒回复10点的机制，跟我们的事件驱动有冲突的地方
能量值,energy,
能量回复,energy_regen,这个可能要用别的机制实现，因为他是例如每5秒回复10点的机制，跟我们的事件驱动有冲突的地方
暴击几率,crit_chance,暴击概率（建议统一为百分比值）
暴击伤害,crit_damage,暴击伤害系数加成
固定护甲穿透,armor_pen_flat,固定数值护甲穿透（含穿甲）
百分比护甲穿透,armor_pen_percent,按百分比降低目标护甲
固定魔法穿透,magic_pen_flat,固定数值魔法穿透
百分比魔法穿透,magic_pen_percent,按百分比降低目标魔抗
生命偷取,life_steal,普攻吸血比例
全能吸血,omnivamp,对伤害的吸血比例
韧性,tenacity,控制时长缩短比例
减速抗性,slow_resist,减速效果减免比例
治疗与护盾强度,heal_shield_power,对治疗和护盾效果的增幅
适应之力,adaptive_force,按规则转化为攻击力或法术强度
召唤师技能极速,summoner_spell_haste,仅影响召唤师技能冷却
装备极速,item_haste,仅影响装备主动/被动冷却
护甲削减（目标debuff）,armor_shred_percent,对目标施加的护甲削减；这个应该要归类到技能去
魔抗削减（目标debuff）,mr_shred_percent,对目标施加的魔抗削减；这个应该要归类到技能去
攻击力成长,ad_g,对应 champion.stats.attackdamageperlevel
生命值成长,hp_g,对应 champion.stats.hpperlevel
法力值成长,mana_g,对应 champion.stats.mpperlevel
护甲成长,ar_g,对应 champion.stats.armorperlevel
魔抗成长,mr_g,对应 champion.stats.spellblockperlevel
生命回复成长,hpr_g,对应 champion.stats.hpregenperlevel（每5秒）
法力回复成长,mpr_g,对应 champion.stats.mpregenperlevel（每5秒）
暴击几率成长,crit_g,对应 champion.stats.critperlevel（多数英雄为0）
固定移动速度,ms_f,对应 FlatMovementSpeedMod（固定值移速）
百分比移动速度,ms_pct,对应 PercentMovementSpeedMod（百分比移速）
物理吸血,pv,Wiki 统计项，通常与全能吸血区分
护盾值,shield,用于吸收伤害结算（公式中已有 b.shield）
金币获取,gold_g,Wiki 统计项（Other）
经验获取,exp_g,Wiki 统计项（Other）
